2011,273.33477,169.4326,84.1675,196
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
132.9,-0.9296,34.3778,296.2764,3,2.3088,NaN,0.0212,0.3108
133.9,-0.9076,34.3815,296.3496,3,NaN,NaN,NaN,NaN
134.9,-0.8819,34.3877,295.8965,3,2.3088,NaN,0.1061,0.3256
135.9,-0.8613,34.3929,295.5707,3,NaN,NaN,NaN,NaN
137.0,-0.8453,34.3977,295.8247,3,2.2126,NaN,0.0424,0.3108
138.0,-0.8169,34.4030,295.9823,3,NaN,NaN,NaN,NaN
139.0,-0.7800,34.4091,295.5268,3,2.1164,NaN,0.0636,0.3182
140.0,-0.7488,34.4147,295.1721,3,NaN,NaN,NaN,NaN
141.1,-0.7216,34.4219,294.6399,3,2.3088,NaN,0.0424,0.3478
142.1,-0.6921,34.4285,294.7125,3,2.1164,NaN,0.0636,0.3182
143.1,-0.6691,34.4339,294.4678,3,NaN,NaN,NaN,NaN
144.1,-0.6403,34.4400,294.5126,3,NaN,NaN,NaN,NaN
145.1,-0.6145,34.4423,294.6320,3,2.1164,NaN,0.0424,0.3034
146.2,-0.5909,34.4484,294.4819,3,NaN,NaN,NaN,NaN
147.0,-0.5815,34.4528,294.5549,2,2.1164,NaN,0.0636,0.3404
147.9,-0.5708,34.4549,294.6709,3,NaN,NaN,NaN,NaN
148.9,-0.5411,34.4605,294.7835,3,2.1164,NaN,0.0636,0.3034
149.9,-0.5126,34.4680,294.4175,3,NaN,NaN,NaN,NaN
150.9,-0.4994,34.4713,294.1683,3,2.0202,NaN,0.0424,0.3108
151.9,-0.4713,34.4779,293.8826,3,NaN,NaN,NaN,NaN
152.9,-0.4576,34.4820,294.1479,3,1.9240,NaN,0.1061,0.3108
154.0,-0.4411,34.4873,293.9294,3,NaN,NaN,NaN,NaN
155.0,-0.4229,34.4907,293.9530,3,1.8278,NaN,0.0212,0.3034
156.0,-0.4046,34.4966,293.9801,3,NaN,NaN,NaN,NaN
157.0,-0.3929,34.4997,293.9238,3,2.2126,NaN,0.0636,0.3182
158.0,-0.3695,34.5061,293.7063,3,NaN,NaN,NaN,NaN
159.0,-0.3511,34.5091,293.9065,3,2.0202,NaN,0.0636,0.2960
160.1,-0.3346,34.5141,293.8087,3,NaN,NaN,NaN,NaN
161.1,-0.3043,34.5183,293.4356,3,1.8278,NaN,0.0636,0.3182
162.1,-0.2869,34.5255,293.2368,3,NaN,NaN,NaN,NaN
163.1,-0.2608,34.5259,293.6152,3,1.8278,NaN,0.0424,0.3182
164.1,-0.2423,34.5350,293.6419,3,NaN,NaN,NaN,NaN
165.1,-0.2305,34.5364,293.3427,3,1.8278,NaN,0.0212,0.3034
166.2,-0.1963,34.5438,292.8460,3,NaN,NaN,NaN,NaN
167.0,-0.1905,34.5470,293.1037,2,1.9240,NaN,0.0212,0.3182
167.8,-0.1854,34.5473,293.4835,3,NaN,NaN,NaN,NaN
168.9,-0.1516,34.5533,293.3063,3,2.1164,NaN,0.0636,0.2960
169.9,-0.1425,34.5580,292.6434,3,NaN,NaN,NaN,NaN
170.9,-0.1262,34.5585,292.8941,3,1.9240,NaN,0.0636,0.2960
171.9,-0.0738,34.5658,292.7231,3,NaN,NaN,NaN,NaN
172.9,-0.0373,34.5759,292.4093,3,1.6354,NaN,0.0212,0.3034
173.9,-0.0278,34.5792,291.9999,3,NaN,NaN,NaN,NaN
175.0,0.0003,34.5846,291.9103,3,1.7316,NaN,0.0212,0.3108
176.0,0.0224,34.5907,291.8496,3,NaN,NaN,NaN,NaN
177.0,0.0342,34.5923,291.8243,3,1.8278,NaN,0.0212,0.3034
178.0,0.0767,34.6011,291.7117,3,NaN,NaN,NaN,NaN
179.0,0.0874,34.6063,291.5413,3,1.8278,NaN,0.0212,0.3182
180.0,0.0898,34.6072,291.3108,3,NaN,NaN,NaN,NaN
181.0,0.0903,34.6077,290.7999,3,1.7316,NaN,0.0212,0.2960
182.1,0.1096,34.6081,290.9940,3,NaN,NaN,NaN,NaN
183.1,0.1438,34.6160,291.1187,3,1.8278,NaN,0.0212,0.3256
184.1,0.1492,34.6184,291.2144,3,NaN,NaN,NaN,NaN
185.1,0.1507,34.6187,291.3586,3,1.7316,NaN,0.0212,0.3404
186.1,0.1892,34.6213,291.1755,3,NaN,NaN,NaN,NaN
187.1,0.2208,34.6299,290.8682,3,1.6354,NaN,0.0212,0.2886
188.1,0.2533,34.6361,290.7589,3,NaN,NaN,NaN,NaN
189.2,0.2736,34.6425,290.4462,3,1.6354,NaN,0.0212,0.3330
190.0,0.2768,34.6423,290.2198,2,NaN,NaN,NaN,NaN
190.8,0.2780,34.6425,290.2400,3,1.5392,NaN,0.0636,0.2738
191.9,0.3067,34.6459,290.3724,3,NaN,NaN,NaN,NaN
192.9,0.3457,34.6576,289.6432,3,1.7316,NaN,0.0424,0.2812
193.9,0.3531,34.6609,289.4004,3,NaN,NaN,NaN,NaN
194.9,0.3555,34.6616,289.6918,3,1.4430,NaN,0.0212,0.2960
195.9,0.3666,34.6637,289.8562,3,NaN,NaN,NaN,NaN
196.9,0.4125,34.6754,289.3058,3,1.5392,NaN,0.0212,0.3108
197.9,0.4232,34.6800,289.1186,3,NaN,NaN,NaN,NaN
199.0,0.4287,34.6817,289.4778,3,1.3468,NaN,0.0212,0.3034
200.0,0.4651,34.6881,288.9263,3,NaN,NaN,NaN,NaN
201.0,0.4844,34.6941,288.7451,2,1.4430,NaN,0.0000,0.2886
201.9,0.5062,34.6981,NaN,3,NaN,NaN,NaN,NaN
