2012,142.75144,-133.1573,84.8570,199
%pressure(dbar),temperature(C),salinity,dissolved_oxygen,nobs,CDOM(ppb),PAR(uE/m^2/s),turbidity(/m/sr)x10^4,chlorophyll-a(ug/l)
107.0,-1.4944,33.0721,273.6404,3,4.4252,NaN,0.2545,0.3478
108.0,-1.4934,33.0855,273.4844,3,NaN,NaN,NaN,NaN
109.0,-1.4976,33.1014,272.9754,3,4.2328,NaN,0.2121,0.3552
110.0,-1.5103,33.1168,272.5876,3,NaN,NaN,NaN,NaN
110.9,-1.5178,33.1383,272.6597,3,4.3290,NaN,0.2545,0.3552
111.9,-1.5160,33.1705,273.0362,3,NaN,NaN,NaN,NaN
112.9,-1.5044,33.1963,273.2273,3,4.3290,NaN,0.2757,0.3478
113.9,-1.4952,33.2158,273.1192,3,NaN,NaN,NaN,NaN
115.0,-1.4903,33.2294,272.6601,3,4.4252,NaN,0.2757,0.3626
116.0,-1.4864,33.2481,271.7945,3,NaN,NaN,NaN,NaN
117.0,-1.4832,33.2642,271.0267,3,4.1366,NaN,0.2333,0.3478
118.0,-1.4780,33.2878,270.4932,3,NaN,NaN,NaN,NaN
119.0,-1.4718,33.3132,269.9180,3,4.4252,NaN,0.2757,0.3404
120.0,-1.4685,33.3269,269.5071,3,NaN,NaN,NaN,NaN
121.0,-1.4711,33.3380,269.3145,3,4.1366,NaN,0.2545,0.3478
122.0,-1.4699,33.3669,269.3869,3,NaN,NaN,NaN,NaN
123.0,-1.4440,33.4023,269.4219,3,4.4252,NaN,0.2545,0.3478
124.1,-1.4358,33.4203,269.6370,3,NaN,NaN,NaN,NaN
125.1,-1.4237,33.4411,269.4802,3,NaN,NaN,NaN,NaN
126.1,-1.4110,33.4668,269.3140,3,4.4252,NaN,0.2333,0.3478
127.1,-1.4003,33.4868,269.2607,3,4.1366,NaN,0.2545,0.3404
128.1,-1.3923,33.5006,269.0149,3,NaN,NaN,NaN,NaN
129.1,-1.3836,33.5144,268.8916,3,NaN,NaN,NaN,NaN
130.1,-1.3775,33.5254,268.9535,3,4.3290,NaN,0.2757,0.3478
131.0,-1.3712,33.5359,268.8740,3,4.3290,NaN,0.2545,0.3330
132.0,-1.3578,33.5571,268.6809,3,NaN,NaN,NaN,NaN
133.0,-1.3426,33.5814,268.4739,3,4.2328,NaN,0.2333,0.3478
134.0,-1.3294,33.6029,268.3158,3,NaN,NaN,NaN,NaN
135.1,-1.3136,33.6274,268.0387,3,4.2328,NaN,0.2757,0.3330
136.1,-1.2975,33.6525,267.8459,3,NaN,NaN,NaN,NaN
137.1,-1.2808,33.6768,267.8291,3,4.2328,NaN,0.2333,0.3330
138.1,-1.2625,33.7034,267.6233,3,NaN,NaN,NaN,NaN
139.1,-1.2493,33.7258,267.2486,3,NaN,NaN,NaN,NaN
140.1,-1.2391,33.7483,266.9806,3,4.1366,NaN,0.2333,0.3330
141.1,-1.2202,33.7809,266.7249,3,NaN,NaN,NaN,NaN
142.0,-1.2063,33.8097,266.5279,3,4.4252,NaN,0.2333,0.3330
143.0,-1.1952,33.8353,266.3378,3,NaN,NaN,NaN,NaN
144.0,-1.1876,33.8570,266.1972,3,4.1366,NaN,0.2121,0.3330
145.0,-1.1830,33.8738,266.0888,3,NaN,NaN,NaN,NaN
146.0,-1.1794,33.8906,266.0475,3,3.9442,NaN,0.2333,0.3256
147.0,-1.1772,33.9077,266.0860,3,NaN,NaN,NaN,NaN
148.0,-1.1744,33.9279,266.2078,3,4.0404,NaN,0.2333,0.3182
149.0,-1.1723,33.9512,266.2567,3,NaN,NaN,NaN,NaN
150.0,-1.1705,33.9670,266.6579,3,3.9442,NaN,0.2545,0.3256
151.0,-1.1700,33.9838,267.1399,3,NaN,NaN,NaN,NaN
152.1,-1.1694,34.0044,267.5002,3,4.0404,NaN,0.2121,0.3182
153.1,-1.1700,34.0215,268.0181,3,NaN,NaN,NaN,NaN
154.0,-1.1683,34.0365,268.9511,3,4.1366,NaN,0.2333,0.3256
155.0,-1.1609,34.0505,269.8898,3,NaN,NaN,NaN,NaN
156.0,-1.1490,34.0645,270.9563,3,3.9442,NaN,0.2333,0.3034
157.0,-1.1332,34.0744,271.9776,3,3.9442,NaN,0.2333,0.3108
158.0,-1.1136,34.0883,273.0244,3,NaN,NaN,NaN,NaN
159.0,-1.0952,34.0986,274.0582,3,4.0404,NaN,0.2333,0.3108
160.1,-1.0759,34.1090,275.0024,3,NaN,NaN,NaN,NaN
161.1,-1.0619,34.1156,275.9624,3,3.9442,NaN,0.1909,0.3182
162.1,-1.0434,34.1260,276.9286,3,NaN,NaN,NaN,NaN
163.1,-1.0260,34.1360,277.9663,3,3.9442,NaN,0.2545,0.3182
164.1,-1.0024,34.1484,278.8782,3,NaN,NaN,NaN,NaN
165.0,-0.9743,34.1615,279.7083,3,3.7518,NaN,0.2121,0.3108
166.0,-0.9540,34.1710,280.4584,3,NaN,NaN,NaN,NaN
167.0,-0.9357,34.1795,281.2261,3,3.7518,NaN,0.1909,0.3108
168.0,-0.9075,34.1930,282.1347,3,NaN,NaN,NaN,NaN
169.0,-0.8766,34.2050,283.0000,3,3.9442,NaN,0.1909,0.2960
170.0,-0.8578,34.2155,283.9745,3,NaN,NaN,NaN,NaN
170.9,-0.8428,34.2205,284.8254,3,3.6556,NaN,0.1909,0.3108
171.9,-0.8200,34.2305,285.3436,3,NaN,NaN,NaN,NaN
173.0,-0.8128,34.2336,286.1333,3,3.5594,NaN,0.2333,0.3330
174.0,-0.7978,34.2399,286.8378,3,NaN,NaN,NaN,NaN
175.0,-0.7925,34.2437,287.3392,3,3.5594,NaN,0.2333,0.3034
175.9,-0.7831,34.2469,287.7784,3,NaN,NaN,NaN,NaN
176.9,-0.7629,34.2558,288.2021,3,3.5594,NaN,0.1909,0.2960
177.9,-0.7547,34.2596,288.6074,3,NaN,NaN,NaN,NaN
178.9,-0.7328,34.2666,288.9224,3,3.7518,NaN,0.2121,0.3034
179.9,-0.7233,34.2725,289.1491,3,NaN,NaN,NaN,NaN
180.9,-0.7154,34.2750,289.3785,3,3.6556,NaN,0.2121,0.3034
181.9,-0.6990,34.2817,289.6435,3,NaN,NaN,NaN,NaN
182.9,-0.6831,34.2891,289.9153,3,3.4632,NaN,0.1909,0.3034
183.9,-0.6713,34.2941,289.9571,3,NaN,NaN,NaN,NaN
184.9,-0.6582,34.2989,290.1906,3,3.3670,NaN,0.1485,0.3108
185.9,-0.6469,34.3030,290.5710,3,NaN,NaN,NaN,NaN
186.9,-0.6361,34.3071,290.5690,3,3.3670,NaN,0.1909,0.3034
187.9,-0.6235,34.3133,290.6523,3,NaN,NaN,NaN,NaN
188.9,-0.6037,34.3205,290.8528,3,3.2708,NaN,0.1909,0.3034
190.0,-0.5820,34.3317,290.8693,4,NaN,NaN,NaN,NaN
191.2,-0.5680,34.3366,290.9238,3,3.5594,NaN,0.1697,0.2812
192.2,-0.5519,34.3438,290.9133,3,NaN,NaN,NaN,NaN
193.0,-0.5360,34.3514,290.8861,2,3.3670,NaN,0.2121,0.3034
193.9,-0.5228,34.3562,290.9976,3,NaN,NaN,NaN,NaN
194.9,-0.5049,34.3630,290.9376,3,3.2708,NaN,0.1697,0.3034
195.9,-0.4917,34.3704,290.8115,3,NaN,NaN,NaN,NaN
196.9,-0.4872,34.3715,290.8339,3,3.1746,NaN,0.1909,0.3034
197.9,-0.4798,34.3745,290.7655,3,NaN,NaN,NaN,NaN
199.0,-0.4620,34.3827,290.6338,3,3.1746,NaN,0.2121,0.2886
200.0,-0.4535,34.3879,290.6696,2,NaN,NaN,NaN,NaN
201.0,-0.4494,34.3892,290.6158,3,3.3670,NaN,0.1273,0.2960
202.2,-0.4369,34.3931,290.5527,8,NaN,NaN,NaN,NaN
202.5,-0.4301,34.3952,NaN,3,NaN,NaN,NaN,NaN
