ITP,Long,Lat,Time
1,-141.10674444444444,77.87834444444444,2006-01-07
1,-140.79408999999998,77.80854000000001,2006-01-08
1,-140.53422999999998,77.7863,2006-01-09
1,-140.3715875,77.7788875,2006-01-10
1,-140.33033999999998,77.76157,2006-01-11
1,-140.355425,77.71368333333332,2006-01-12
1,-140.43992727272723,77.62763636363637,2006-01-13
1,-140.42433,77.56836,2006-01-14
1,-140.189025,77.52199999999999,2006-01-15
1,-140.04315000000003,77.48543,2006-01-16
1,-140.0487,77.47071818181819,2006-01-17
1,-139.90962999999996,77.43597000000001,2006-01-18
1,-139.61603333333332,77.37366666666667,2006-01-19
1,-139.5644583333333,77.36599999999999,2006-01-20
1,-139.5784,77.3693,2006-01-21
1,-139.5734166666667,77.35986666666666,2006-01-22
1,-139.3586818181818,77.34931818181818,2006-01-23
1,-139.51384444444446,77.3619888888889,2006-01-24
1,-139.62334545454544,77.33526363636362,2006-01-25
1,-139.52373636363637,77.31329090909091,2006-01-26
1,-139.19478181818178,77.32592727272727,2006-01-27
1,-138.9733727272727,77.33429090909091,2006-01-28
1,-138.9708,77.33149,2006-01-29
1,-138.9654090909091,77.31786363636364,2006-01-30
1,-138.95761999999996,77.31085,2006-01-31
1,-138.95515,77.31248000000001,2006-02-01
1,-139.00199999999998,77.32715,2006-02-02
1,-139.2606090909091,77.34365454545456,2006-02-03
1,-139.3577909090909,77.33963636363636,2006-02-04
1,-139.38194166666668,77.335675,2006-02-05
1,-139.27877500000002,77.35676666666667,2006-02-06
1,-139.2827,77.36963636363636,2006-02-07
1,-139.85081818181823,77.37841818181818,2006-02-08
1,-140.56968181818183,77.36702727272728,2006-02-09
1,-141.19348333333335,77.3669,2006-02-10
1,-141.56577,77.33304999999999,2006-02-11
1,-141.77483333333333,77.34190833333334,2006-02-12
1,-142.02122727272726,77.40404545454547,2006-02-13
1,-142.29531666666665,77.52178333333332,2006-02-14
1,-142.25841666666668,77.5953,2006-02-15
1,-142.07818333333333,77.59715833333334,2006-02-16
1,-141.98477499999998,77.65067499999999,2006-02-17
1,-141.56788333333336,77.70869166666667,2006-02-18
1,-141.01758181818184,77.64758181818182,2006-02-19
1,-140.96118333333334,77.68458333333335,2006-02-20
1,-141.39069090909092,77.78875454545454,2006-02-21
1,-141.88175454545456,77.79714545454546,2006-02-22
1,-142.12814545454546,77.70439999999999,2006-02-23
1,-141.94513636363638,77.62101818181819,2006-02-24
1,-141.61094545454546,77.58328181818182,2006-02-25
1,-141.39296,77.59567000000001,2006-02-26
1,-141.44666363636364,77.62796363636363,2006-02-27
1,-141.71482,77.64516,2006-02-28
1,-141.87144166666667,77.63503333333333,2006-03-01
1,-141.7667,77.62936,2006-03-02
1,-141.70157,77.63250000000001,2006-03-03
1,-141.7390727272727,77.61844545454545,2006-03-04
1,-141.75681818181818,77.62527272727272,2006-03-05
