ITP,Long,Lat,Time
107,-123.57353621169935,74.84803704735371,2018-10-20
107,-123.36696694214872,74.82789779614322,2018-10-21
107,-123.2373394444444,74.75171666666667,2018-10-22
107,-123.16569694444449,74.76354694444447,2018-10-23
110,-123.12218947368419,74.75583379501381,2018-10-24
110,-123.39580858725763,74.8096988919668,2018-10-25
107,-125.40803162393165,75.23734387464383,2018-10-26
103,-129.46841886227543,76.13096257485027,2018-10-27
107,-134.51184455128202,77.34192371794867,2018-10-28
110,-134.36152435897444,77.32764775641024,2018-10-29
105,-134.1638852564103,77.28260448717957,2018-10-30
105,-134.06034548387098,77.26128258064517,2018-10-31
103,-133.79617483870982,77.26055548387096,2018-11-01
107,-133.62946903225802,77.28802193548388,2018-11-02
107,-133.5535914285713,77.3634447619047,2018-11-03
107,-133.38531114649675,77.41465382165599,2018-11-04
107,-133.20299775641024,77.34037788461538,2018-11-05
107,-133.0984302250803,77.24915819935688,2018-11-06
107,-133.04414660194186,77.19802653721683,2018-11-07
107,-133.05306645367418,77.26582715654948,2018-11-08
107,-133.1295163461537,77.40744358974362,2018-11-09
103,-133.04826666666654,77.44842916666673,2018-11-10
110,-132.94624358974357,77.41475801282053,2018-11-11
107,-132.8289438709678,77.33327870967744,2018-11-12
107,-132.70700226537207,77.27320906148867,2018-11-13
107,-132.53372694805208,77.25529448051947,2018-11-14
105,-132.24250388349512,77.24754919093854,2018-11-15
105,-132.11629126213577,77.23621165048544,2018-11-16
110,-132.04071967741933,77.2137351612903,2018-11-17
107,-131.98340941558433,77.20198571428574,2018-11-18
105,-131.96405723472674,77.21951221864956,2018-11-19
110,-132.0038412903223,77.2180158064517,2018-11-20
110,-132.0879298076924,77.23075192307698,2018-11-21
110,-132.30525384615382,77.22940352564108,2018-11-22
103,-132.5080650641027,77.19568012820513,2018-11-23
109,-132.69589967948718,77.13212916666663,2018-11-24
107,-132.77480897435902,77.08035833333336,2018-11-25
109,-132.83711314102575,77.0455012820513,2018-11-26
110,-132.95797596153852,77.02202564102568,2018-11-27
104,-133.23783493589744,76.98723910256412,2018-11-28
105,-133.6887553398057,76.90442847896438,2018-11-29
107,-134.02450000000002,76.8326409677419,2018-11-30
